node1,node2
0,1
0,3
0,4
1,2
1,3
1,5
2,11
3,6
4,6
4,8
5,7
5,11
6,7
6,9
7,13
8,9
8,12
9,14
10,15
11,15
11,17
12,16
13,14
13,17
14,21
15,20
17,18
17,19
18,19
18,21
19,20
20,22
22,23
22,24
