Node ID,X Position,Y Position
1,920,1390
2,690,1190
3,530,1180
4,810,1160
5,940,1140
6,630,1080
7,820,1050
8,780,1010
9,950,1000
10,820,990
11,140,940
12,500,920
13,1010,870
14,640,870
15,810,840
16,270,790
17,1090,770
18,610,770
19,650,710
20,540,700
21,390,570
22,830,450
23,470,440
24,530,340
25,310,230
